Questions,Answers
What is anemia?,"Anemia is a condition in which you don't have enough healthy red blood cells to carry adequate oxygen to your body's tissues, leading to fatigue and weakness."
What is angioplasty?,"Angioplasty is a surgical procedure to restore blood flow through the artery, usually involving the temporary insertion of a balloon to dilate the artery."
What is antiseptic?,Antiseptic refers to substances that prevent the growth of disease-causing microorganisms. They're used on living tissues and cells to prevent infection.
What is anxiety?,"Anxiety is an emotion characterized by feelings of tension, worried thoughts, and physical changes like increased blood pressure."
What is appendicitis?,"Appendicitis is an inflammation of the appendix, a finger-shaped pouch that projects from your colon on the lower right side of your abdomen. It causes pain and requires immediate treatment."
What is arrhythmia?,"Arrhythmia refers to an irregular heartbeat - the heart may beat too fast, too slowly, too early, or irregularly."
What is arthritis?,"Arthritis is the inflammation of one or more of your joints, causing pain and stiffness that can worsen with age."
What is an autoimmune disease?,"An autoimmune disease is a condition in which your immune system mistakenly attacks your body. The immune system normally guards against germs, but in autoimmune diseases, it attacks healthy cells."
What is a biopsy?,"A biopsy is a medical test commonly performed by a surgeon, an interventional radiologist, or an interventional cardiologist involving extraction of sample cells or tissues for examination to determine the presence or extent of a disease."
What is a blood pressure?,Blood pressure is the pressure of circulating blood against the walls of blood vessels. Most of this pressure results from the heart pumping blood through the circulatory system.
What is bronchitis?,"Bronchitis is an inflammation of the lining of your bronchial tubes, which carry air to and from your lungs. People who have bronchitis often cough up thickened mucus."
What is a cataract?,"A cataract is a clouding of the normally clear lens of your eye. For people who have cataracts, seeing through cloudy lenses is like looking through a frosty or fogged-up window."
What is chickenpox?,"Chickenpox is a highly contagious disease caused by the initial infection with varicella zoster virus. It typically results in a blister-like rash, itching, tiredness, and fever."
What is a concussion?,"A concussion is a type of traumatic brain injury—or TBI—caused by a bump, blow, or jolt to the head or by a hit to the body that causes the head and brain to move rapidly back and forth."
What is COPD?,"Chronic obstructive pulmonary disease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. It's caused by long-term exposure to irritating gases or particulate matter, most often from cigarette smoke."
What is Crohn's disease?,"Crohn's disease is an inflammatory bowel disease (IBD). It causes inflammation of your digestive tract, which can lead to abdominal pain, severe diarrhea, fatigue, weight loss, and malnutrition."
What is cystic fibrosis?,Cystic fibrosis is a hereditary disease that affects the lungs and digestive system. The body produces thick and sticky mucus that can clog the lungs and obstruct the pancreas.
What is dementia?,"Dementia is not a specific disease but is rather a general term for the impaired ability to remember, think, or make decisions that interferes with doing everyday activities."
What is dental plaque?,"Dental plaque is a sticky, colorless or pale yellow film that is constantly forming on your teeth. When saliva, food, and fluids combine, plaque - which contains bacteria - forms between your teeth and along the gum line."
What is dermatitis?,Dermatitis is a general term that describes a skin irritation. Dermatitis is a common condition that has many causes and occurs in many forms.
What is diabetes mellitus?,Diabetes mellitus refers to a group of diseases that affect how your body uses blood sugar (glucose). It's characterized by high levels of sugar in the blood.
What is dyslexia?,Dyslexia is a learning disorder that involves difficulty reading due to problems identifying speech sounds and learning how they relate to letters and words.
What is eczema?,Eczema is a condition that makes your skin red and itchy. It's common in children but can occur at any age and tends to be chronic and flare periodically.
What is edema?,"Edema is swelling caused by excess fluid trapped in your body's tissues. It commonly affects the legs, ankles, or feet."
What is endometriosis?,Endometriosis is a painful disorder in which tissue similar to the tissue that normally lines the inside of your uterus grows outside your uterus.
What is epilepsy?,"Epilepsy is a central nervous system disorder in which brain activity becomes abnormal, causing seizures or periods of unusual behavior, sensations, and sometimes loss of awareness."
What is erectile dysfunction?,Erectile dysfunction (ED) is the inability to get or keep an erection firm enough to have sexual intercourse.
What is fibromyalgia?,"Fibromyalgia is a disorder characterized by widespread musculoskeletal pain accompanied by fatigue, sleep, memory, and mood issues."
What is glaucoma?,"Glaucoma is a group of eye conditions that damage the optic nerve, the health of which is vital for good vision. This damage is often caused by an abnormally high pressure in your eye."
What is gout?,"Gout is a common and complex form of arthritis that can affect anyone. It's characterized by sudden, severe attacks of pain, swelling, redness, and tenderness in the joints."
What is hay fever?,"Hay fever, also known as allergic rhinitis, is an allergic response to certain allergens, most commonly to pollen from trees, grasses, and weeds."
What is hemophilia?,"Hemophilia is a rare disorder in which your blood doesn't clot normally because it lacks sufficient blood-clotting proteins."
What is hepatitis?,"Hepatitis refers to an inflammation of the liver. It can be caused by several viruses, the most common of which are hepatitis A, B, and C."
What is herpes?,"Herpes is a viral infection caused by the herpes simplex virus. Infections are categorized based on the part of the body infected."
What is HIV/AIDS?,"HIV is a virus that damages the immune system. AIDS is a disease that occurs when the immune system is severely damaged and the body can't fight off infections."
What is hypothyroidism?,"Hypothyroidism is a condition in which the thyroid gland doesn't produce enough thyroid hormone, leading to fatigue, increased sensitivity to cold, and weight gain."
What is IBS?,"Irritable bowel syndrome (IBS) is a common disorder that affects the large intestine, causing cramping, abdominal pain, bloating, gas, diarrhea, and constipation."
What is influenza?,"Influenza, or flu, is a contagious respiratory illness caused by influenza viruses. It can cause mild to severe illness and can lead to hospitalization and death."
What is jaundice?,"Jaundice is a yellow discoloration of the skin and eyes due to high bilirubin levels. It can be a sign of several health problems."
What is kidney stones?,"Kidney stones are hard deposits made of minerals and salts that form inside your kidneys and can affect any part of the urinary tract."
What is lactose intolerance?,"Lactose intolerance is a condition in which people have symptoms due to the decreased ability to digest lactose, a sugar found in milk and dairy products."
What is leukemia?,"Leukemia is a type of cancer of the blood-forming tissues, including the bone marrow and the lymphatic system."
What is lupus?,"Lupus is a systemic autoimmune disease that occurs when your body's immune system attacks your own tissues and organs."
What is Lyme disease?,"Lyme disease is a bacterial infection transmitted by ticks. It can lead to fatigue, fever, body aches, and skin rash."
What is melanoma?,"Melanoma is the most serious type of skin cancer, which develops in the cells that produce melanin — the pigment that gives your skin its color."
What is menopause?,"Menopause is the time that marks the end of a woman's menstrual cycles. It's diagnosed after 12 months without a menstrual period."
What is multiple sclerosis?,"Multiple sclerosis (MS) is a potentially disabling disease of the brain and spinal cord, where the immune system attacks the protective sheath covering nerve fibers."
What is osteoporosis?,"Osteoporosis is a bone disease that occurs when the body loses too much bone, makes too little bone, or both, making bones weak and prone to breaks."
What is Parkinson's disease?,"Parkinson's disease is a progressive nervous system disorder that affects movement, causing tremors, stiffness, and difficulty with balance."
What is psoriasis?,"Psoriasis is a skin disorder that causes skin cells to multiply up to 10 times faster than normal, leading to red, flaky, and crusty patches."
What is rheumatoid arthritis?,"Rheumatoid arthritis is an autoimmune disorder that can cause joint pain and damage throughout your body."
What is scoliosis?,"Scoliosis is a sideways curvature of the spine that occurs most often during the growth spurt just before puberty."
What is tuberculosis?,"Tuberculosis (TB) is a potentially serious infectious disease that mainly affects the lungs but can also affect other parts of the body."
What is ulcers?,"Ulcers are sores that can develop in different parts of the body, most commonly in the lining of the stomach or the upper part of the small intestine."
What is vertigo?,"Vertigo is a sensation of spinning or dizziness, often accompanied by nausea and sometimes by vomiting, difficulty standing, or walking."
What is whooping cough?,"Whooping cough, or pertussis, is a highly contagious respiratory tract infection characterized by a severe hacking cough followed by a high-pitched intake of breath."
What is xerostomia?,"Xerostomia, also known as dry mouth, is a condition in which the salivary glands in your mouth don't produce enough saliva."
What is yellow fever?,"Yellow fever is a viral infection spread by a particular type of mosquito. It's most prevalent in certain parts of Africa and South America."
What is Zika virus?,"Zika virus is a mosquito-borne viral infection that primarily occurs in tropical and subtropical areas of the world, known to cause birth defects in babies."
What is adenitis?,"Adenitis is the inflammation of a gland, often associated with swollen lymph nodes."
What is Bell's palsy?,"Bell's palsy is a sudden, temporary weakness or paralysis of the facial muscles, often affecting one side of the face."
What is beriberi?,"Beriberi is a disease caused by a deficiency of thiamine (vitamin B1) affecting the cardiovascular system and the nervous system."
What is cardiomyopathy?,"Cardiomyopathy refers to diseases of the heart muscle, making it harder for the heart to pump blood to the rest of the body."
What is cellulitis?,"Cellulitis is a common bacterial skin infection, causing redness, swelling, and pain in the affected area."
What is diverticulitis?,"Diverticulitis is an inflammation or infection of small pouches called diverticula that develop along the walls of the intestines."
What is encephalitis?,"Encephalitis is an inflammation of the brain, often due to a viral infection."
What is fatty liver?,"Fatty liver, or steatosis, is the build-up of excess fat in liver cells, which can lead to liver damage."
What is gastritis?,"Gastritis is an inflammation of the stomach lining, which can be caused by various factors including prolonged use of NSAIDs, infections, or chronic stress."
What is hemochromatosis?,"Hemochromatosis is a disorder where too much iron builds up in the body, leading to liver disease, heart problems, and diabetes."
What is ichthyosis?,"Ichthyosis is a family of genetic skin disorders characterized by dry, scaling skin that may be thickened or very thin."
What is jaundice in newborns?,"Jaundice in newborns, or neonatal jaundice, is a yellow discoloration of a baby's skin and eyes due to high bilirubin levels."
What is keratitis?,"Keratitis is an inflammation of the cornea, the clear front surface of the eye."
What is lymphedema?,"Lymphedema is the swelling that generally occurs in one of your arms or legs, often due to the removal or damage to your lymph nodes."
What is macular degeneration?,"Macular degeneration is an eye disease that can blur the sharp, central vision needed for activities like reading and driving."
What is narcolepsy?,"Narcolepsy is a chronic sleep disorder characterized by overwhelming daytime drowsiness and sudden attacks of sleep."
What is osteoarthritis?,"Osteoarthritis is the most common form of arthritis, affecting millions of people. It occurs when the protective cartilage on the ends of your bones wears down over time."
What is peritonitis?,"Peritonitis is the inflammation of the peritoneum, the thin tissue that lines the inner wall of the abdomen and covers most of the abdominal organs."
What is restless legs syndrome?,"Restless legs syndrome (RLS) is a condition where there's an uncontrollable urge to move your legs, usually because of an uncomfortable sensation."
What is scabies?,"Scabies is a contagious skin condition caused by tiny mites that burrow into the skin, causing intense itching."
What is tinnitus?,"Tinnitus is the perception of noise or ringing in the ears, a common problem affecting about 1 in 5 people."
What is uremia?,"Uremia is a severe condition that occurs when the kidneys no longer filter and eliminate waste products from the blood."
What is vitiligo?,"Vitiligo is a long-term skin condition characterized by patches of the skin losing their pigment."
What is Wilson's disease?,"Wilson's disease is a rare inherited disorder that causes copper to accumulate in the liver, brain, and other vital organs."
What is xanthoma?,"Xanthoma is a condition in which fatty growths develop underneath the skin, often associated with high levels of blood lipids."
What is yaws?,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue."
What is Zenker's diverticulum?,"Zenker's diverticulum is a pouch that forms at the junction of the pharynx and the esophagus, leading to difficulty swallowing and regurgitation."
